objid,ra,dec,u,g,r,i,z,class,redshift,velDisp,velDispErr
1237671768542609746,258.402260125582,64.2055851122417,20.01286,18.14022,17.30004,16.89735,16.60001,GALAXY,0.07680839,108.4812,6.848324
1237671939804561961,258.200013815215,63.9374201310295,20.26383,18.35814,17.43021,17.04792,16.74726,GALAXY,0.08254481,129.4632,12.3016
1237671939804561492,258.138452386849,64.0716663486144,21.5802,19.20684,18.25628,17.86593,17.50069,GALAXY,0.08442297,153.6911,9.745776
1237671940341432653,257.941464576275,64.3589195863736,18.39921,16.48954,15.5297,15.10775,14.77025,GALAXY,0.08209147,225.0195,5.804249
1237671939804561977,258.212703828537,63.9607033379505,20.25763,18.4473,17.53801,17.10976,16.77066,GALAXY,0.08137539,86.36754,9.661767
1237671768542544365,258.082062735601,64.2989114368248,19.60695,17.74896,16.84966,16.44644,16.112,GALAXY,0.07728057,160.9988,6.543023
1237671768542544107,257.893121763227,64.1411380054795,20.34262,18.48957,17.55558,17.12156,16.76106,GALAXY,0.08084181,225.0549,9.79418
1237671939804561475,258.213356620306,64.0731695837472,19.24982,17.20155,16.26258,15.75252,15.49401,GALAXY,0.07390364,188.5016,9.846107
1237671939804496245,257.893554995322,63.8939515615986,19.71816,17.92935,17.27013,16.84207,16.59762,GALAXY,0.07665645,80.22837,14.34603
1237671768542609733,258.411836859978,64.1588916644563,19.3108,17.60626,16.74702,16.33814,16.01995,GALAXY,0.07776324,106.1114,8.18401
1237671939804627439,258.412829300384,64.1334523284414,20.00282,18.17442,17.23247,16.71498,16.38828,GALAXY,0.08191933,159.7695,9.903514
1237671768005673254,258.148644971299,63.8608516801372,19.80159,18.40077,17.72017,17.31451,17.04653,GALAXY,0.08079526,54.16592,21.35137
1237671939804496297,257.95403012396,63.9098830592177,19.79801,17.83903,16.88469,16.4431,16.0845,GALAXY,0.0789102,198.3952,9.399333
1237671939804561900,258.07705503464,64.0080771555823,20.09003,18.30898,17.40158,16.98483,16.66575,GALAXY,0.0809986,126.3307,9.355765
1237671768005607846,257.946211619308,63.8847381058497,19.52618,17.62696,16.72515,16.31055,15.96002,GALAXY,0.09079131,183.7957,6.591846
1237671768542478711,257.824627907125,64.1332334804097,18.96114,17.49613,16.7475,16.32774,16.0135,GALAXY,0.08246633,72.53978,8.954351
1237671939804561927,258.135151517819,64.0028043403084,18.50986,16.514,15.54687,15.11602,14.77579,GALAXY,0.0849261,169.9929,6.561152
1237671939804561641,258.255337846362,64.0480839984731,21.20081,19.10112,18.10116,17.63346,17.30267,GALAXY,0.08250701,241.7584,13.70453
1237671939804627265,258.265722450296,64.1171180093868,18.49716,16.4852,15.5344,15.09496,14.75453,GALAXY,0.08092269,254.7392,5.932827
1237671939804627395,258.403624159064,63.9885826448208,19.28688,17.68734,16.95406,16.5689,16.305,GALAXY,0.07087519,105.7785,9.61807
1237671939804627834,258.280808782852,64.0836235789165,23.27564,22.03597,20.06741,19.27635,18.82468,GALAXY,0.4574551,288.0086,51.68017
