date,precipitation,cloudage,sunshine
1961/5/1,0,9.5,3.2
1961/5/2,2.8,9.5,3
1961/5/3,2.7,10,3.9
1961/5/4,3.8,10,0
1961/5/5,0.6,6.8,2.5
1961/5/6,0,2.5,11.9
1961/5/7,0,10,0
1961/5/8,3.5,7.8,4.7
1961/5/9,0,0,12.5
1961/5/10,0,7,9.6
1961/5/11,0,8.8,5.4
1961/5/12,1.7,10,1.5
1961/5/13,0,2.8,12.2
1961/5/14,0.5,5.5,10.8
1961/5/15,0.1,8.5,1.9
1961/5/16,0,10,2.1
1961/5/17,0,8.8,9.4
1961/5/18,23.4,7.5,10.8
1961/5/19,8.6,10,0
1961/5/20,0.6,10,0.2
1961/5/21,10.9,9.8,1.5
1961/5/22,0,3.5,9.6
1961/5/23,0,5.5,11.8
1961/5/24,0,10,1.6
1961/5/25,0,3.3,9.4
1961/5/26,0,0.8,11.6
1961/5/27,0,4.5,11.6
1961/5/28,0,6.5,10.6
1961/5/29,0,8,6.6
1961/5/30,0,0,13
1961/5/31,4.9,8.3,3.4
1961/6/1,2.4,4.8,6.4
1961/6/2,0,0,13
1961/6/3,0,0.5,12.5
1961/6/4,1.3,5.3,9.3
1961/6/5,0,8.3,0.5
1961/6/6,0,0,12.8
1961/6/7,0,5.5,12.5
1961/6/8,0.2,7,6.2
1961/6/9,26.1,10,0
1961/6/10,0,7,4.6
1961/6/11,0,1.3,11.6
1961/6/12,5.7,7.8,11.2
1961/6/13,10.7,10,1.1
1961/6/14,0,7.3,5.9
1961/6/15,0,3.5,11.2
1961/6/16,11.6,7.5,6.5
1961/6/17,18,10,0
1961/6/18,0,4,5.8
1961/6/19,0,0.5,12
1961/6/20,0.5,6.3,2.8
1961/6/21,3.6,10,0
1961/6/22,0,9.3,3.2
1961/6/23,3.1,10,2.8
1961/6/24,11.7,10,0
1961/6/25,4.6,10,0
1961/6/26,6.2,10,0.5
1961/6/27,80.6,10,0
1961/6/28,0,9,7.8
1961/6/29,0.4,10,0
1961/6/30,18.6,10,0
1961/7/1,0,7.5,1.7
1961/7/2,3.9,10,0
1961/7/3,17.9,10,0
1961/7/4,10.2,9.3,0
1961/7/5,0,6,6.5
1962/5/1,0,4.8,11
1962/5/2,0,5.8,5
1962/5/3,0,5.5,8.8
1962/5/4,19.5,10,0
1962/5/5,5.1,7.8,0.5
1962/5/6,0,2.8,12.4
1962/5/7,0,3.8,12.1
1962/5/8,0,2.5,12.3
1962/5/9,7.1,9,7.1
1962/5/10,0,3,11.4
1962/5/11,0.6,2.8,10.5
1962/5/12,14.9,10,0
1962/5/13,0,4,10.2
1962/5/14,5,7.8,7.1
1962/5/15,5.5,10,0
1962/5/16,0,9.8,2.4
1962/5/17,1.7,10,5.3
1962/5/18,0,8.5,9.4
1962/5/19,0,8.5,11.6
1962/5/20,0,2.8,12.5
1962/5/21,0,0,12.6
1962/5/22,0,0,12.5
1962/5/23,20,10,2
1962/5/24,8.3,10,0
1962/5/25,0.7,8,0.8
1962/5/26,0,2.5,11.3
1962/5/27,8.9,5,4.6
1962/5/28,0,7.8,6.2
1962/5/29,0,9.8,0
1962/5/30,1.1,3,10.3
1962/5/31,0,1,11.5
1962/6/1,0,8.3,6.5
1962/6/2,0.3,7.8,7.1
1962/6/3,1,10,0
1962/6/4,5.7,10,0
1962/6/5,0,9,8.3
