Australia	504	1.6	96	1.2	510	2.4	498	2.0	12	3.1	348	2.9	382	2.3	437	2.0	571	2.3	630	3.0	663	3.4
Austria	506	2.7	92	1.7	517	3.9	494	3.3	22	4.9	353	4.1	384	3.9	440	3.2	572	3.5	624	3.8	654	4.3
Belgium	515	2.1	102	1.4	520	2.9	509	2.6	11	3.4	342	4.5	378	3.9	443	3.4	589	2.8	646	2.5	677	3.0
Canada	518	1.8	89	0.8	523	2.1	513	2.1	10	2.0	370	2.8	402	2.4	457	2.1	580	2.3	633	2.3	663	2.7
Chile	423	3.1	81	1.5	436	3.8	411	3.1	25	3.6	299	4.1	323	3.7	365	3.5	476	4.2	532	4.2	563	4.1
CzechRepublic	499	2.9	95	1.6	505	3.7	493	3.6	12	4.6	344	6.4	377	4.9	432	3.9	566	3.3	621	3.6	653	4.0
Denmark	500	2.3	82	1.3	507	2.9	493	2.3	14	2.3	363	4.6	393	4.0	444	3.3	556	2.7	607	3.1	635	4.2
Estonia	521	2.0	81	1.2	523	2.6	518	2.2	5	2.6	389	3.5	417	3.0	465	2.7	576	2.7	626	3.2	657	4.1
Finland	519	1.9	85	1.2	517	2.6	520	2.2	-3	2.9	376	4.5	409	3.3	463	2.5	577	2.4	629	3.1	657	3.2
France	495	2.5	97	1.7	499	3.4	491	2.5	9	3.4	330	5.0	365	4.7	429	2.7	565	3.4	621	3.5	652	3.7
Germany	514	2.9	96	1.6	520	3.0	507	3.4	14	2.8	353	5.4	385	4.7	447	3.6	583	3.6	637	3.8	667	4.1
Greece	453	2.5	88	1.3	457	3.3	449	2.6	8	3.2	308	4.6	338	3.8	393	3.6	513	2.8	567	3.1	597	3.7
Hungary	477	3.2	94	2.4	482	3.7	473	3.6	9	3.7	327	4.6	358	4.2	411	3.3	540	4.8	603	6.4	637	7.9
Iceland	493	1.7	92	1.3	490	2.3	496	2.3	-6	3.0	339	4.1	372	2.8	431	2.6	557	3.0	612	3.3	641	3.7
Ireland	501	2.2	85	1.3	509	3.3	494	2.6	15	3.8	359	5.0	391	3.6	445	3.2	559	2.4	610	2.5	640	3.2
Israel	466	4.7	105	1.8	472	7.8	461	3.5	12	7.6	292	7.3	328	5.7	393	5.1	541	5.3	603	6.0	639	6.1
