Australia	524	2.1	520	2.2	514	2.5	504	1.6	-20	3.3	-16	3.5	-10	3.8	-2.2	0.34	-3.7	1.16	-0.2	0.16
Austria	506	3.3	505	3.7	m	m	506	2.7	0	4.6	0	5.0	m	m	0.0	0.52	0.0	2.14	0.0	0.26
Belgium	529	2.3	520	3.0	515	2.3	515	2.1	-15	3.7	-6	4.2	-1	3.9	-1.6	0.40	0.4	1.32	0.2	0.16
Canada	532	1.8	527	2.0	527	1.6	518	1.8	-14	3.2	-9	3.4	-9	3.4	-1.4	0.34	-2.2	1.05	-0.1	0.14
Chile	m	m	411	4.6	421	3.1	423	3.1	m	m	11	5.9	2	4.9	1.9	0.93	-0.8	2.44	-0.5	0.46
CzechRepublic	516	3.5	510	3.6	493	2.8	499	2.9	-17	4.9	-11	5.0	6	4.6	-2.5	0.54	0.4	1.66	0.3	0.21
Denmark	514	2.7	513	2.6	503	2.6	500	2.3	-14	4.1	-13	4.1	-3	4.2	-1.8	0.43	-2.2	1.40	0.0	0.18
Estonia	m	m	515	2.7	512	2.6	521	2.0	m	m	6	4.0	8	4.0	0.9	0.69	4.6	1.89	0.6	0.36
Finland	544	1.9	548	2.3	541	2.2	519	1.9	-26	3.3	-30	3.7	-22	3.7	-2.8	0.34	-9.3	1.09	-0.7	0.15
France	511	2.5	496	3.2	497	3.1	495	2.5	-16	4.0	-1	4.5	-2	4.6	-1.5	0.44	1.9	1.50	0.4	0.18
Germany	503	3.3	504	3.9	513	2.9	514	2.9	11	4.8	10	5.3	1	4.7	1.4	0.50	1.5	1.76	0.0	0.21
Greece	445	3.9	459	3.0	466	3.9	453	2.5	8	5.0	-6	4.4	-13	5.2	1.1	0.55	-5.8	1.62	-0.8	0.21
Hungary	490	2.8	491	2.9	490	3.5	477	3.2	-13	4.7	-14	4.8	-13	5.2	-1.3	0.49	-4.8	1.62	-0.4	0.19
Iceland	515	1.4	506	1.8	507	1.4	493	1.7	-22	2.9	-13	3.2	-14	3.2	-2.2	0.31	-3.2	0.87	-0.1	0.13
Ireland	503	2.4	501	2.8	487	2.5	501	2.2	-1	3.8	0	4.1	14	4.1	-0.6	0.41	3.2	1.38	0.4	0.17
Israel	m	m	442	4.3	447	3.3	466	4.7	m	m	25	6.7	20	6.2	4.2	1.15	9.0	3.28	0.8	0.54
Italy	466	3.1	462	2.3	483	1.9	485	2.0	20	4.2	24	3.7	2	3.6	2.7	0.45	4.3	1.19	0.2	0.16
Japan	534	4.0	523	3.3	529	3.3	536	3.6	2	5.7	13	5.3	7	5.4	0.4	0.58	5.0	1.49	0.5	0.20
Korea	542	3.2	547	3.8	546	4.0	554	4.6	12	5.9	6	6.3	8	6.5	1.1	0.59	1.8	2.31	0.1	0.25
Luxembourg	493	1.0	490	1.1	489	1.2	490	1.1	-3	2.4	0	2.6	1	2.8	-0.3	0.26	0.6	0.50	0.1	0.11
Mexico	385	3.6	406	2.9	419	1.8	413	1.4	28	4.3	8	3.8	-5	3.2	3.1	0.46	-3.2	1.17	-0.7	0.17
Netherlands	538	3.1	531	2.6	526	4.7	523	3.5	-15	5.1	-8	4.8	-3	6.3	-1.6	0.58	-0.6	1.80	0.1	0.22
NewZealand	523	2.3	522	2.4	519	2.3	500	2.2	-24	3.7	-22	3.9	-20	3.9	-2.5	0.40	-7.0	1.10	-0.5	0.15
Norway	495	2.4	490	2.6	498	2.4	489	2.7	-6	4.1	0	4.3	-9	4.3	-0.3	0.45	-1.1	1.34	-0.1	0.17
Poland	490	2.5	495	2.4	495	2.8	518	3.6	27	4.8	22	4.8	23	5.1	2.6	0.46	6.8	1.73	0.5	0.19
Portugal	466	3.4	466	3.1	487	2.9	487	3.8	21	5.5	21	5.3	0	5.3	2.8	0.58	2.7	1.62	0.0	0.19
SlovakRepublic	498	3.3	492	2.8	497	3.1	482	3.4	-17	5.2	-10	4.9	-15	5.1	-1.4	0.53	-3.5	1.66	-0.2	0.20
Slovenia	m	m	504	1.0	501	1.2	501	1.2	m	m	-3	2.6	0	2.9	-0.6	0.41	0.3	1.04	0.1	0.25
Spain	485	2.4	480	2.3	483	2.1	484	1.9	-1	3.6	4	3.7	1	3.6	0.1	0.39	1.5	1.09	0.2	0.15
Sweden	509	2.6	502	2.4	494	2.9	478	2.3	-31	3.9	-24	3.9	-16	4.3	-3.3	0.40	-5.6	1.38	-0.3	0.17
Switzerland	527	3.4	530	3.2	534	3.3	531	3.0	4	4.9	1	4.9	-3	5.0	0.6	0.53	-0.9	1.53	-0.2	0.19
Turkey	423	6.7	424	4.9	445	4.4	448	4.8	25	8.5	24	7.2	3	7.0	3.2	0.81	3.2	2.64	0.0	0.31
UnitedKingdom	m	m	495	2.1	492	2.4	494	3.3	m	m	-2	4.4	2	4.7	-0.3	0.57	1.3	2.62	0.3	0.40
UnitedStates	483	2.9	474	4.0	487	3.6	481	3.6	-2	5.0	7	5.8	-6	5.6	0.3	0.57	1.0	1.88	0.1	0.21
OECDaverage2003	500	0.6	498	0.5	499	0.6	496	0.5	-3	0.9	-1	0.9	-3	0.9	-0.3	0.09	-0.6	0.29	0.0	0.04
OECDaverage2006	m	m	494	0.5	496	0.5	494	0.5	m	m	0	0.8	-2	0.8	-0.1	0.09	-0.1	0.29	0.0	0.04
OECDaverage2009	m	m	m	m	496	0.5	494	0.5	m	m	m	m	-2	0.8	-0.1	0.09	-0.1	0.29	0.0	0.04
Albania	m	m	m	m	377	4.0	394	2.0	m	m	m	m	17	5.0	5.6	1.67	m	m	m	m
Argentina	m	m	381	6.2	388	4.1	388	3.5	m	m	7	7.5	0	5.9	1.2	1.28	-1.0	3.31	-0.4	0.63
Brazil	356	4.8	370	2.9	386	2.4	391	2.1	35	5.6	22	4.1	6	3.9	4.1	0.56	2.0	1.35	-0.2	0.20
Bulgaria	m	m	413	6.1	428	5.9	439	4.0	m	m	25	7.6	11	7.5	4.2	1.34	2.9	4.66	-0.2	0.83
Colombia	m	m	370	3.8	381	3.2	376	2.9	m	m	7	5.2	-4	4.9	1.1	0.89	-4.0	2.82	-0.8	0.50
CostaRica	m	m	m	m	409	3.0	407	3.0	m	m	m	m	-2	4.8	-1.2	2.26	m	m	m	m
Croatia	m	m	467	2.4	460	3.1	471	3.5	m	m	4	4.7	11	5.2	0.6	0.78	6.8	3.02	1.0	0.49
DubaiUAE	m	m	m	m	453	1.1	464	1.2	m	m	m	m	11	2.8	3.8	0.91	m	m	m	m
HongKong-China	550	4.5	547	2.7	555	2.7	561	3.2	11	5.9	14	4.7	7	4.8	1.3	0.58	3.7	1.66	0.3	0.21
Indonesia	360	3.9	391	5.6	371	3.7	375	4.0	15	5.9	-16	7.2	4	5.9	0.7	0.63	-5.6	2.37	-0.7	0.26
Jordan	m	m	384	3.3	387	3.7	386	3.1	m	m	2	5.0	-1	5.4	0.2	0.84	-1.0	2.85	-0.2	0.51
Kazakhstan	m	m	m	m	405	3.0	432	3.0	m	m	m	m	27	4.9	9.0	1.54	m	m	m	m
Latvia	483	3.7	486	3.0	482	3.1	491	2.8	7	5.0	4	4.6	9	4.7	0.5	0.54	1.6	1.60	0.1	0.20
Liechtenstein	536	4.1	525	4.2	536	4.1	535	4.0	-1	6.0	10	6.1	-1	6.1	0.3	0.63	2.8	2.13	0.3	0.25
Lithuania	m	m	486	2.9	477	2.6	479	2.6	m	m	-8	4.5	2	4.4	-1.4	0.81	2.7	1.95	0.7	0.37
Macao-China	527	2.9	525	1.3	525	0.9	538	1.0	11	3.6	13	2.6	13	2.7	1.0	0.36	4.8	0.77	0.4	0.14
Malaysia	m	m	m	m	404	2.7	421	3.2	m	m	m	m	16	4.8	8.1	2.12	m	m	m	m
Montenegro	m	m	399	1.4	403	2.0	410	1.1	m	m	10	2.7	7	3.2	1.7	0.45	3.0	1.55	0.2	0.31
Peru	m	m	m	m	365	4.0	368	3.7	m	m	m	m	3	5.9	1.0	2.09	m	m	m	m
Qatar	m	m	318	1.0	368	0.7	376	0.8	m	m	58	2.4	8	2.5	9.2	0.41	-4.2	0.68	-2.3	0.21
Romania	m	m	415	4.2	427	3.4	445	3.8	m	m	30	6.0	17	5.6	4.9	1.00	6.7	3.09	0.3	0.54
RussianFederation	468	4.2	476	3.9	468	3.3	482	3.0	14	5.5	6	5.3	14	5.0	1.1	0.59	2.1	1.86	0.1	0.23
Serbia	m	m	435	3.5	442	2.9	449	3.4	m	m	13	5.3	6	5.0	2.2	0.93	2.1	2.68	0.0	0.45
Shanghai-China	m	m	m	m	600	2.8	613	3.3	m	m	m	m	13	4.9	4.2	1.69	m	m	m	m
Singapore	m	m	m	m	562	1.4	573	1.3	m	m	m	m	11	3.0	3.8	0.98	m	m	m	m
ChineseTaipei	m	m	549	4.1	543	3.4	560	3.3	m	m	10	5.7	17	5.3	1.7	0.91	9.4	2.91	1.3	0.52
Thailand	417	3.0	417	2.3	419	3.2	427	3.4	10	5.0	10	4.7	8	5.3	1.0	0.56	3.1	1.46	0.2	0.17
Tunisia	359	2.5	365	4.0	371	3.0	388	3.9	29	5.0	22	5.9	16	5.4	3.1	0.53	5.5	1.90	0.3	0.20
UnitedArabEmirates-Ex.Dubai	m	m	m	m	411	3.2	423	3.2	m	m	m	m	12	5.0	5.9	2.55	m	m	m	m
Uruguay	422	3.3	427	2.6	427	2.6	409	2.8	-13	4.7	-18	4.3	-17	4.4	-1.4	0.49	-6.8	1.41	-0.6	0.18
