Australia	512	1.6	97	1.0	495	2.3	530	2.0	-34	2.9	347	3.0	386	2.4	448	2.2	579	1.9	634	2.3	664	3.1
Austria	490	2.8	92	1.8	471	4.0	508	3.4	-37	5.0	329	6.3	365	5.1	427	3.9	557	3.0	603	2.5	629	3.7
Belgium	509	2.3	102	1.7	493	3.0	525	2.7	-32	3.5	326	6.3	373	4.3	444	3.2	583	2.2	633	2.3	660	2.5
Canada	523	1.9	92	0.9	506	2.3	541	2.1	-35	2.1	363	3.4	403	2.8	464	2.2	587	2.2	638	2.6	667	2.7
Chile	441	2.9	78	1.4	430	3.8	452	2.9	-23	3.3	310	4.6	339	4.2	388	3.8	496	3.3	541	3.3	567	3.4
CzechRepublic	493	2.9	89	1.9	474	3.3	513	3.4	-39	3.7	344	6.0	378	4.7	434	3.7	554	3.6	604	3.8	634	4.3
Denmark	496	2.6	86	2.2	481	3.3	512	2.6	-31	2.8	347	6.9	385	5.1	442	3.5	555	2.4	602	2.8	629	4.4
Estonia	516	2.0	80	1.2	494	2.4	538	2.3	-44	2.4	381	4.4	412	3.4	463	3.0	571	2.4	618	2.8	645	4.3
Finland	524	2.4	95	1.3	494	3.1	556	2.4	-62	3.1	360	5.7	399	4.3	463	3.5	590	2.3	639	2.5	669	3.5
France	505	2.8	109	2.3	483	3.8	527	3.0	-44	4.2	312	7.7	358	5.4	435	4.3	584	3.6	639	3.9	669	5.0
Germany	508	2.8	91	1.7	486	2.9	530	3.1	-44	2.5	346	5.2	384	4.8	447	3.6	574	3.1	621	3.2	646	3.3
Greece	477	3.3	99	2.1	452	4.1	502	3.1	-50	3.7	302	8.8	346	6.0	416	4.5	545	3.4	597	3.9	626	4.5
Hungary	488	3.2	92	1.9	468	3.9	508	3.3	-40	3.6	327	6.0	363	5.2	427	4.6	555	3.3	603	3.9	630	4.7
Iceland	483	1.8	98	1.4	457	2.4	508	2.5	-51	3.3	308	5.7	352	4.1	422	2.9	551	2.9	602	2.4	631	3.2
