Australia	528	3.5	525	2.1	513	2.1	515	2.3	512	1.6	-16	7.1	-14	6.2	-1	6.2	-3	3.8	-1.4	0.31	-0.1	0.86	0.1	0.17
Austria	492	2.7	491	3.8	490	4.1	m	m	490	2.8	-2	7.1	-1	7.3	-1	7.4	m	m	-0.2	0.39	0.0	1.40	0.0	0.19
Belgium	507	3.6	507	2.6	501	3.0	506	2.3	509	2.3	1	7.3	2	6.6	8	6.7	3	4.2	0.1	0.35	1.7	0.97	0.1	0.17
Canada	534	1.6	528	1.7	527	2.4	524	1.5	523	1.9	-11	6.4	-5	6.2	-4	6.4	-1	3.6	-0.9	0.26	-0.1	0.82	0.1	0.16
Chile	410	3.6	m	m	442	5.0	449	3.1	441	2.9	32	7.5	m	m	-1	8.0	-8	5.0	3.1	0.51	-4.0	1.66	-0.6	0.22
CzechRepublic	492	2.4	489	3.5	483	4.2	478	2.9	493	2.9	1	7.0	4	7.2	10	7.5	15	4.8	-0.5	0.42	2.9	1.24	0.3	0.17
Denmark	497	2.4	492	2.8	494	3.2	495	2.1	496	2.6	-1	6.9	4	6.8	2	6.9	1	4.3	0.1	0.35	0.9	0.97	0.1	0.16
Estonia	m	m	m	m	501	2.9	501	2.6	516	2.0	m	m	m	m	16	6.6	15	4.2	2.4	0.76	7.6	2.03	0.8	0.57
Finland	546	2.6	543	1.6	547	2.1	536	2.3	524	2.4	-22	6.9	-19	6.3	-23	6.4	-12	4.2	-1.7	0.31	-4.8	0.83	-0.3	0.16
France	505	2.7	496	2.7	488	4.1	496	3.4	505	2.8	1	7.1	9	6.8	18	7.5	10	5.2	0.0	0.37	5.1	1.23	0.4	0.18
Germany	484	2.5	491	3.4	495	4.4	497	2.7	508	2.8	24	7.0	16	7.1	13	7.6	10	4.7	1.8	0.42	2.2	1.26	0.0	0.17
Greece	474	5.0	472	4.1	460	4.0	483	4.3	477	3.3	3	8.4	5	7.7	17	7.6	-6	6.0	0.5	0.52	3.2	1.42	0.2	0.20
Hungary	480	4.0	482	2.5	482	3.3	494	3.2	488	3.2	8	7.8	7	6.9	6	7.2	-6	5.2	1.0	0.43	0.7	1.18	0.0	0.18
