Australia	521	1.8	100	1.0	524	2.5	519	2.1	5	3.0	353	3.5	391	2.6	453	2.1	592	2.5	650	2.7	682	2.9
Austria	506	2.7	92	1.6	510	3.9	501	3.4	9	5.0	350	4.9	383	5.3	442	3.5	571	3.1	623	3.4	650	3.3
Belgium	505	2.2	101	1.5	507	3.0	503	2.6	4	3.6	326	5.8	368	4.5	439	3.3	577	2.5	629	2.0	657	2.7
Canada	525	1.9	91	0.9	527	2.4	524	2.0	3	2.1	370	3.3	407	2.7	467	2.1	588	2.4	639	2.6	670	3.3
Chile	445	2.9	80	1.5	448	3.7	442	2.9	7	3.3	317	4.1	343	3.8	388	3.3	500	3.6	552	3.7	581	3.7
CzechRepublic	508	3.0	91	2.1	509	3.7	508	3.5	1	4.0	356	7.2	392	5.5	449	4.0	572	3.2	622	3.7	650	3.1
Denmark	498	2.7	93	1.7	504	3.5	493	2.5	10	2.7	338	5.9	378	4.3	438	3.8	563	3.2	615	4.1	644	3.7
Estonia	541	1.9	80	1.1	540	2.5	543	2.3	-2	2.7	409	3.0	439	3.3	487	2.7	597	2.6	645	3.1	672	4.5
Finland	545	2.2	93	1.2	537	3.0	554	2.3	-16	3.0	386	5.7	424	3.9	486	2.8	609	2.4	662	2.9	692	2.6
France	499	2.6	100	2.2	498	3.8	500	2.4	-2	3.7	323	7.8	366	6.0	433	3.4	570	3.0	622	4.1	651	4.7
Germany	524	3.0	95	2.0	524	3.1	524	3.5	-1	3.0	361	5.6	397	4.8	461	3.8	592	3.1	642	3.9	671	3.7
Greece	467	3.1	88	1.5	460	3.8	473	3.0	-13	3.1	317	5.2	352	5.1	408	4.5	528	3.5	578	3.6	608	4.1
Hungary	494	2.9	90	1.9	496	3.4	493	3.3	3	3.3	345	6.0	376	4.6	432	4.3	558	3.5	610	4.7	639	4.0
Iceland	478	2.1	99	1.5	477	2.7	480	2.9	-3	3.6	310	5.0	348	3.4	413	2.5	548	3.2	603	3.7	635	5.3
Ireland	522	2.5	91	1.6	524	3.4	520	3.1	4	4.4	366	5.8	404	4.8	462	3.1	586	2.4	637	2.6	666	3.4
Israel	470	5.0	108	2.1	470	7.9	470	4.0	-1	7.6	286	8.7	328	6.4	396	5.7	548	5.7	608	5.4	640	5.1
Italy	494	1.9	93	1.1	495	2.2	492	2.4	3	2.5	336	3.2	371	2.8	431	2.5	559	2.0	611	2.5	641	2.6
Japan	547	3.6	96	2.2	552	4.7	541	3.5	11	4.3	379	7.0	421	6.4	485	4.5	614	3.6	664	4.3	693	4.7
Korea	538	3.7	82	1.8	539	4.7	536	4.2	3	5.1	396	6.3	431	4.9	485	4.0	595	4.1	639	4.3	664	5.3
Luxembourg	491	1.3	103	1.0	499	1.7	483	1.7	15	2.2	318	3.6	355	3.1	419	2.2	566	1.9	624	2.9	655	2.9
Mexico	415	1.3	71	0.9	418	1.5	412	1.3	6	1.1	300	2.6	325	2.1	368	1.6	462	1.5	505	1.9	532	2.1
Netherlands	522	3.5	95	2.2	524	3.7	520	3.9	3	2.9	357	5.9	393	5.4	458	5.0	591	3.9	641	4.1	667	4.0
NewZealand	516	2.1	105	1.4	518	3.2	513	3.3	5	4.9	339	4.5	377	4.5	444	3.0	591	3.1	649	3.0	682	3.9
Norway	495	3.1	100	1.9	493	3.2	496	3.7	-4	3.2	325	6.6	365	5.2	429	3.7	564	3.3	620	3.4	651	3.9
Poland	526	3.1	86	1.5	524	3.7	527	3.2	-3	3.0	382	4.7	415	4.0	467	3.3	584	4.0	637	5.0	668	4.9
Portugal	489	3.7	89	1.6	488	4.1	490	3.8	-2	2.6	337	6.0	372	5.6	430	4.8	551	3.6	602	3.6	630	4.1
SlovakRepublic	471	3.6	101	2.8	475	4.3	467	4.2	7	4.5	300	8.5	339	5.7	403	5.2	542	4.0	599	4.9	632	6.3
Slovenia	514	1.3	91	1.2	510	1.9	519	1.9	-9	2.8	364	3.0	397	3.5	451	2.2	578	2.0	631	3.2	661	3.3
Spain	496	1.8	86	0.9	500	2.3	493	1.9	7	2.1	349	3.9	384	3.1	440	2.3	557	1.8	605	2.0	632	2.0
Sweden	485	3.0	100	1.5	481	3.9	489	2.8	-7	3.3	314	5.3	354	4.7	419	4.1	554	3.2	611	3.4	643	3.1
