Australia	527	2.3	527	2.5	521	1.8	-5	4.5	-6	3.7	-0.9	0.77	-3.0	2.00	-0.3	0.36
Austria	511	3.9	m	m	506	2.7	-5	5.9	m	m	-0.8	1.00	m	m	m	m
Belgium	510	2.5	507	2.5	505	2.2	-5	4.8	-2	3.9	-0.9	0.82	-0.2	2.20	0.1	0.38
Canada	534	2.0	529	1.6	525	1.9	-9	4.5	-3	3.2	-1.5	0.76	-0.7	1.67	0.1	0.29
Chile	438	4.3	447	2.9	445	2.9	7	6.3	-3	4.6	1.1	1.03	-2.8	2.26	-0.7	0.41
CzechRepublic	513	3.5	500	3.0	508	3.0	-5	5.8	8	4.7	-1.0	1.00	6.0	2.43	1.1	0.43
Denmark	496	3.1	499	2.5	498	2.7	3	5.4	-1	4.2	0.4	0.93	-1.0	2.37	-0.2	0.40
Estonia	531	2.5	528	2.7	541	1.9	10	4.7	14	3.9	1.5	0.84	7.4	1.99	1.0	0.36
Finland	563	2.0	554	2.3	545	2.2	-18	4.6	-9	3.8	-3.0	0.77	-2.8	1.97	0.0	0.33
France	495	3.4	498	3.6	499	2.6	4	5.5	1	4.9	0.6	0.98	-0.1	2.71	-0.1	0.47
Germany	516	3.8	520	2.8	524	3.0	8	6.0	4	4.5	1.4	1.03	1.1	2.54	-0.1	0.46
Greece	473	3.2	470	4.0	467	3.1	-7	5.7	-3	5.5	-1.1	0.95	-1.2	3.20	0.0	0.54
Hungary	504	2.7	503	3.1	494	2.9	-10	5.3	-8	4.8	-1.6	0.91	-4.0	2.60	-0.4	0.44
Iceland	491	1.6	496	1.4	478	2.1	-13	4.4	-17	3.2	-2.0	0.71	-9.5	1.63	-1.2	0.28
Ireland	508	3.2	508	3.3	522	2.5	14	5.3	14	4.5	2.3	0.91	7.1	2.75	0.8	0.47
Israel	454	3.7	455	3.1	470	5.0	16	7.1	15	6.2	2.8	1.18	7.5	3.26	0.8	0.51
Italy	475	2.0	489	1.8	494	1.9	18	4.5	5	3.3	3.0	0.77	0.1	1.64	-0.5	0.30
Japan	531	3.4	539	3.4	547	3.6	15	6.1	7	5.4	2.6	0.90	2.3	3.07	0.0	0.52
Korea	522	3.4	538	3.4	538	3.7	16	6.1	0	5.4	2.6	1.02	-2.7	3.34	-0.9	0.55
Luxembourg	486	1.1	484	1.2	491	1.3	5	3.9	7	2.7	0.9	0.64	4.0	1.04	0.5	0.22
Mexico	410	2.7	416	1.8	415	1.3	5	4.6	-1	3.0	0.9	0.79	-1.5	1.52	-0.4	0.30
Netherlands	525	2.7	522	5.4	522	3.5	-3	5.7	0	6.8	-0.5	0.92	0.4	4.16	0.1	0.69
NewZealand	530	2.7	532	2.6	516	2.1	-15	4.9	-16	3.9	-2.5	0.81	-8.5	2.18	-1.0	0.40
Norway	487	3.1	500	2.6	495	3.1	8	5.6	-5	4.5	1.3	0.92	-4.9	2.41	-1.0	0.41
Poland	498	2.3	508	2.4	526	3.1	28	5.3	18	4.4	4.6	0.90	7.2	2.46	0.4	0.39
Portugal	474	3.0	493	2.9	489	3.7	15	6.0	-4	5.1	2.5	0.99	-4.9	2.94	-1.2	0.49
SlovakRepublic	488	2.6	490	3.0	471	3.6	-17	5.7	-19	5.1	-2.7	0.90	-9.8	2.85	-1.2	0.47
Slovenia	519	1.1	512	1.1	514	1.3	-5	3.9	2	2.6	-0.8	0.67	2.4	1.10	0.5	0.22
Spain	488	2.6	488	2.1	496	1.8	8	4.7	8	3.4	1.3	0.79	4.1	1.92	0.5	0.34
Sweden	503	2.4	495	2.7	485	3.0	-19	5.2	-10	4.5	-3.1	0.88	-3.8	2.43	-0.1	0.40
Switzerland	512	3.2	517	2.8	515	2.7	4	5.4	-1	4.4	0.6	0.91	-1.5	2.46	-0.4	0.43
Turkey	424	3.8	454	3.6	463	3.9	40	6.5	10	5.7	6.4	1.09	-0.3	3.18	-1.1	0.53
UnitedKingdom	515	2.3	514	2.5	514	3.4	-1	5.4	0	4.7	-0.1	0.84	0.4	2.60	0.1	0.42
UnitedStates	489	4.2	502	3.6	497	3.8	9	6.7	-5	5.6	1.4	1.08	-4.5	3.10	-1.0	0.51
OECDaverage2006	498	0.5	501	0.5	501	0.5	3	0.9	0	0.8	0.5	0.15	-0.5	0.42	-0.2	0.07
OECDaverage2009	m	m	501	0.5	501	0.5	m	m	0	0.8	0.5	0.16	-0.5	0.44	-0.2	0.07
Albania	m	m	391	3.9	397	2.4	m	m	7	5.1	2.2	1.63	m	m	m	m
Argentina	391	6.1	401	4.6	406	3.9	14	8.0	5	6.3	2.4	1.35	0.8	3.75	-0.3	0.67
Brazil	390	2.8	405	2.4	405	2.1	14	5.0	-1	3.8	2.3	0.81	-2.9	2.09	-0.9	0.38
Bulgaria	434	6.1	439	5.9	446	4.8	12	8.5	7	7.8	2.0	1.46	2.7	4.85	0.1	0.85
Colombia	388	3.4	402	3.6	399	3.1	11	5.7	-3	5.2	1.8	0.97	-3.8	3.17	-0.9	0.53
CostaRica	m	m	430	2.8	429	2.9	m	m	-1	4.5	-0.6	2.04	m	m	m	m
Croatia	493	2.4	486	2.8	491	3.1	-2	5.3	5	4.7	-0.3	0.88	3.6	2.73	0.7	0.46
DubaiUAE	m	m	466	1.2	474	1.4	m	m	8	2.7	2.5	0.92	m	m	m	m
HongKong-China	542	2.5	549	2.8	555	2.6	13	5.0	6	4.3	2.1	0.85	1.8	2.28	-0.1	0.38
Indonesia	393	5.7	383	3.8	382	3.8	-12	7.7	-1	5.7	-1.9	1.33	1.5	2.95	0.6	0.55
Jordan	422	2.8	415	3.5	409	3.1	-13	5.5	-6	5.1	-2.1	0.91	-1.9	2.92	0.0	0.49
Kazakhstan	m	m	400	3.1	425	3.0	m	m	24	4.8	8.1	1.56	m	m	m	m
Latvia	490	3.0	494	3.1	502	2.8	13	5.4	8	4.6	2.0	0.90	3.4	2.68	0.2	0.44
Liechtenstein	522	4.1	520	3.4	525	3.5	3	6.5	5	5.3	0.4	1.03	2.8	2.99	0.4	0.51
